feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,metric,wilcoxon_fdr,main_text_claim_status
CCL_CCR,15,3,0.6308567603748327,0.715194109772423,-0.10219634091923249,-0.027643908969210207,-0.22405080321285145,0.01649596162427487,0.08437944259396049,consensus_score,0.10848785476366349,boundary_or_negative_for_shared_state_specific_communication
CCL_CCR,15,2,0.0,0.0,-0.012305822988064633,0.0,-0.026107089956647483,-0.0007485387942718723,0.12348527214454895,product_detection_score,0.13892093116261756,boundary_or_negative_for_shared_state_specific_communication
CXCL_CXCR,15,2,0.7373493975903614,0.8779116465863454,-0.09749040606871931,-0.050602409638554224,-0.20851017402945113,0.012961356537260204,0.018566712279734197,consensus_score,0.033420082103521556,boundary_or_negative_for_shared_state_specific_communication
CXCL_CXCR,15,1,0.00861587063434651,0.03390168835754667,-0.2685612695491874,-0.02528581772320016,-0.5008576017199711,-0.08747018155297341,0.007649082055293921,product_detection_score,0.02294724616588176,boundary_or_negative_for_shared_state_specific_communication
FN1_integrin,15,4,0.9688085676037483,0.9753681392235609,-0.004768406961178055,-0.004899598393574345,-0.009473828647925042,-0.0001187416331994568,0.10699462890625,consensus_score,0.1283935546875,boundary_or_negative_for_shared_state_specific_communication
FN1_integrin,15,3,8.86553846201163,8.422308039224857,-0.7977098279361112,-1.025967616777164,-1.3996025925571518,-0.17854520254666154,0.02557373046875,product_detection_score,0.04184792258522727,boundary_or_negative_for_shared_state_specific_communication
PDGF_PDGFR,15,4,0.923855421686747,0.958152610441767,-0.02220258813029896,-0.020722891566265056,-0.03503114680946003,-0.01021651048638998,0.00537109375,consensus_score,0.02294724616588176,boundary_or_negative_for_shared_state_specific_communication
PDGF_PDGFR,15,4,0.1150905205571496,0.15105806917084538,-0.20549489044078104,-0.07632944293363282,-0.36212299151344546,-0.07410386713513066,0.0067138671875,product_detection_score,0.02294724616588176,boundary_or_negative_for_shared_state_specific_communication
POSTN_integrin,15,4,0.9666666666666667,0.9707630522088353,-0.007541276215975009,-0.006425702811244882,-0.012744444444444437,-0.002714323962516725,0.01025390625,consensus_score,0.0230712890625,boundary_or_negative_for_shared_state_specific_communication
POSTN_integrin,15,3,2.46505947519155,2.037410095996766,-0.3479674314849048,-0.10706154706526387,-0.7316529680620026,-0.04664210437510694,0.063720703125,product_detection_score,0.08822866586538461,boundary_or_negative_for_shared_state_specific_communication
SPP1_CD44_integrin,15,2,0.9701204819277108,0.96760374832664,-0.003918786256135643,-0.003052208835341408,-0.006150825524319507,-0.0018276439089691858,0.00262451171875,consensus_score,0.0157470703125,boundary_or_negative_for_shared_state_specific_communication
SPP1_CD44_integrin,15,3,4.100815840937431,6.213671332730121,-1.0263041020771864,-0.3222877450662325,-1.8775015126407146,-0.17772686991772327,0.041259765625,product_detection_score,0.0618896484375,boundary_or_negative_for_shared_state_specific_communication
TGFB_TGFBR,15,7,0.9187416331994646,0.9223560910307899,-0.0008710397144132095,-0.0016064257028112205,-0.013132217759928608,0.010753346720214203,0.93408203125,consensus_score,0.93408203125,boundary_or_negative_for_shared_state_specific_communication
TGFB_TGFBR,15,7,0.044595304858112084,0.0557593116051171,-0.022647470488825597,-0.008790438739621334,-0.06902035700199388,0.014452222548271654,0.359130859375,product_detection_score,0.38025620404411764,boundary_or_negative_for_shared_state_specific_communication
THBS_TGFB_activation,15,4,0.9742971887550201,0.9792503346720215,-0.004230254350736266,-0.003212851405622552,-0.007543328871039693,-0.0014403391343150512,0.01806640625,consensus_score,0.033420082103521556,boundary_or_negative_for_shared_state_specific_communication
THBS_TGFB_activation,15,3,1.1211189588779547,1.5980113703998737,-0.3745806842449923,-0.3947236522184565,-0.6083995333843636,-0.15296832296493817,0.01025390625,product_detection_score,0.0230712890625,boundary_or_negative_for_shared_state_specific_communication
VEGF_VEGFR,15,2,0.95475234270415,0.9763052208835342,-0.019095939312806797,-0.016934404283801885,-0.026587103971441328,-0.011032909415439553,0.00042724609375,consensus_score,0.00384521484375,boundary_or_negative_for_shared_state_specific_communication
VEGF_VEGFR,15,1,0.5198687382106089,1.1381818974137703,-1.3265850302912028,-0.3216578161903362,-2.1750912647593044,-0.6096800079162255,0.0001220703125,product_detection_score,0.002197265625,boundary_or_negative_for_shared_state_specific_communication
