axis,ligand,receptor,resource_support,omnipath_sources,omnipath_references,curation_effort,has_omnipath_support
CCL_CCR,CCL2,CCR1,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;HINT;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr,Baccin2019:76793288631787;CellTalkDB:10699158;Cellinker:7679328;Cellinker:8631787;DIP:9115216;HINT:8631787;HINT:9115216;HPMR:7679328;HPRD:8631787;InnateDB:9115216;LRdb:10699158;connectomeDB2020:7679328;connectomeDB2020:8631787,13.0,True
CCL_CCR,CCL2,CCR2,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;KEGG-MEDICUS;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10529171;Baccin2019:10770925;Baccin2019:12554737;Baccin2019:15207250;Baccin2019:9276730;Baccin2019:9287323;Baccin2019:9346309;Cellinker:10529171;Cellinker:10770925;Cellinker:12554737;Cellinker:15207250;Cellinker:28389721;Cellinker:9276730;Cellinker:9287323;Cellinker:9346309;DIP:10488147;DIP:10770925;DIP:11470772;DIP:8530354;DIP:9115216;DIP:9169459;DIP:9312096;DIP:9336350;Guide2Pharma:10770925;Guide2Pharma:12554737;Guide2Pharma:15207250;Guide2Pharma:9276730;Guide2Pharma:9346309;HINT:10529171;HINT:11310855;HINT:15629146;HINT:35570218;HINT:7759884;HINT:8530354;HINT:9115216;HINT:9287323;HINT:9837883;HPMR:9287323;HPRD:10529171;HPRD:9287323;ICELLNET:22633458;InnateDB:10529171;InnateDB:11310855;InnateDB:15629146;InnateDB:7759884;InnateDB:8530354;InnateDB:9115216;InnateDB:9287323;InnateDB:9837883;LRdb:10699158;SIGNOR:20219869;connectomeDB2020:10529171;connectomeDB2020:10770925;connectomeDB2020:12554737;connectomeDB2020:15207250;connectomeDB2020:9276730;connectomeDB2020:9287323;connectomeDB2020:9346309;scConnect:10770925;scConnect:12554737;scConnect:15207250;scConnect:9276730;scConnect:9346309,63.0,True
CCL_CCR,CCL2,CCR5,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellTalkDB;Cellinker;DIP;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:1629834510477710;CellTalkDB:16298345;Cellinker:10477718;Cellinker:16298345;DIP:10477718;Guide2Pharma:16298345;HPRD:10477718;InnateDB:10477718;LRdb:1;LRdb:16298345;connectomeDB2020:10477718;connectomeDB2020:16298345;scConnect:16298345,13.0,True
CCL_CCR,CCL3,CCR1,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10202040;Baccin2019:10660125;Baccin2019:11170631;Baccin2019:12381680;Baccin2019:7545673;Baccin2019:8530354;Baccin2019:9115216;Baccin2019:9624164;Cellinker:10202040;Cellinker:10660125;Cellinker:11170631;Cellinker:12381680;Cellinker:7545673;Cellinker:8530354;Cellinker:9115216;Cellinker:9624164;DIP:10488147;DIP:10498628;DIP:10910894;DIP:7545673;DIP:7622448;DIP:8530354;DIP:9115216;DIP:9169459;DIP:9207005;DIP:9336350;DIP:9687537;Guide2Pharma:11170631;Guide2Pharma:12381680;Guide2Pharma:8530354;Guide2Pharma:9624164;HINT:10202040;HINT:10660125;HINT:12381680;HINT:7545673;HINT:8530354;HINT:9115216;HPRD:10202040;HPRD:10660125;HPRD:7545673;ICELLNET:22633458;InnateDB:12381680;InnateDB:23765404;InnateDB:7545673;InnateDB:8530354;InnateDB:9115216;LRdb:10699158;SIGNOR:10734056;SIGNOR:20219869;connectomeDB2020:10202040;connectomeDB2020:10660125;connectomeDB2020:11170631;connectomeDB2020:12381680;connectomeDB2020:7545673;connectomeDB2020:8530354;connectomeDB2020:9115216;connectomeDB2020:9624164;scConnect:11170631;scConnect:12381680;scConnect:8530354;scConnect:9624164,61.0,True
CCL_CCR,CCL3,CCR2,manual_axis_pair,,,,False
CCL_CCR,CCL3,CCR5,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:10364178;Baccin2019:10477718;Baccin2019:11170631;Baccin2019:11700073;Baccin2019:11734558;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:9790730;Cellinker:10477718;Cellinker:11170631;Cellinker:11700073;Cellinker:12964882;Cellinker:16298345;Cellinker:9790730;DIP:10477718;DIP:9169459;DIP:9334377;DIP:9468473;Guide2Pharma:11170631;Guide2Pharma:16298345;Guide2Pharma:9790730;HINT:10477718;HINT:11700073;HPMR:12964882;HPRD:10477718;HPRD:11700073;ICELLNET:22633458;InnateDB:10477718;InnateDB:23765404;LRdb:10699158;SIGNOR:15075201;SIGNOR:20219869;connectomeDB2020:10477718;connectomeDB2020:11170631;connectomeDB2020:11700073;connectomeDB2020:12964882;connectomeDB2020:16298345;connectomeDB2020:9790730;scConnect:11170631;scConnect:16298345;scConnect:9790730,41.0,True
CCL_CCR,CCL4,CCR1,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:12381680;Baccin2019:7594543;Baccin2019:8530354;CellTalkDB:10699158;Cellinker:12381680;Cellinker:7594543;Cellinker:8530354;DIP:10910894;DIP:7545673;Guide2Pharma:12381680;Guide2Pharma:8530354;HINT:12381680;HINT:7594543;HPRD:7594543;InnateDB:12381680;LRdb:10699158;connectomeDB2020:12381680;connectomeDB2020:7594543;connectomeDB2020:8530354;scConnect:12381680;scConnect:8530354,21.0,True
CCL_CCR,CCL4,CCR2,manual_axis_pair,,,,False
CCL_CCR,CCL4,CCR5,manual_axis_pair;omnipath_ligrecextra,Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;Kirouac2010;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;SPIKE_LC;Wang;connectomeDB2020;iTALK;scConnect;talklr,Baccin2019:12427015;Baccin2019:12964882;Baccin2019:16298345;Baccin2019:8663314;Baccin2019:9790730;CellTalkDB:10699158;Cellinker:12427015;Cellinker:12964882;Cellinker:16298345;Cellinker:8663314;Cellinker:9790730;DIP:10477718;DIP:10498628;DIP:9334377;DIP:9468473;Guide2Pharma:16298345;Guide2Pharma:9790730;HINT:10477718;HINT:12427015;HINT:8663314;HPRD:12427015;HPRD:8663314;ICELLNET:22633458;InnateDB:10477718;InnateDB:12427015;InnateDB:16467191;LRdb:10699158;Lit-BM-17:10477718;Lit-BM-17:10498628;Lit-BM-17:23597562;Lit-BM-17:9334377;Lit-BM-17:9468473;SIGNOR:20219869;SPIKE:12427015;SPIKE:8663314;SPIKE_LC:12427015;SPIKE_LC:8663314;connectomeDB2020:12427015;connectomeDB2020:12964882;connectomeDB2020:16298345;connectomeDB2020:8663314;connectomeDB2020:9790730;scConnect:16298345;scConnect:9790730,44.0,True
CCL_CCR,CCL5,CCR1,manual_axis_pair;omnipath_ligrecextra,CellCall;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HINT;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;InnateDB;Kirouac2010;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr,Cellinker:11116158;Cellinker:12270118;Cellinker:14637022;Cellinker:7545673;Cellinker:8530354;Cellinker:9289016;Cellinker:9624164;DIP:10910894;DIP:7545673;DIP:7622448;DIP:8530354;DIP:9115216;DIP:9336350;Guide2Pharma:8530354;Guide2Pharma:9624164;HINT:11116158;HINT:11449371;HINT:12270118;HINT:14637022;HINT:7545673;HINT:8530354;HINT:9115216;HINT:9289016;HPRD:11116158;HPRD:12270118;HPRD:14637022;HPRD:7545673;HPRD:9289016;ICELLNET:22633458;InnateDB:7545673;InnateDB:8530354;InnateDB:9115216;LRdb:10699158;SIGNOR:10734056;connectomeDB2020:11116158;connectomeDB2020:12270118;connectomeDB2020:14637022;connectomeDB2020:7545673;connectomeDB2020:8530354;connectomeDB2020:9289016;connectomeDB2020:9624164;scConnect:8530354;scConnect:9624164,43.0,True
