evidence_layer,dataset_or_system,comparison,module_direction,leave_one_min,leave_one_max,support_level,boundary,source_file
existing temporal or perturbation sensitivity,rabbit_nuclei,Hr4_vs_Control,0.4490318887941942,0.3832607602136931,0.5148030173746954,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,rabbit_nuclei,Day14_vs_Control,0.4293117029355573,0.4035135162085095,0.4626552757321133,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,rabbit_nuclei,Day14_vs_Hr4,-0.0197201858586368,-0.085491314439138,0.0460509427218642,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,independent_inhibitor,bay16_vs_induced,-0.3597894756810964,-0.4041812119753274,-0.3153977393868645,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,independent_inhibitor,bay32_vs_induced,-1.7055584392113632,-3.129674398154228,-0.281442480268498,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,human_rpe_paired,induction_8h,0.5154090743479077,0.5035566414714054,0.527583861732797,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,human_rpe_paired,polymer_reduction_8h,-0.1354460737947279,-0.1528119705943793,-0.1131911437687822,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,human_rpe_paired,induction_24h,1.1943369728550917,1.1751788300976846,1.221744601798771,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
existing temporal or perturbation sensitivity,human_rpe_paired,polymer_reduction_24h,-0.2586481373623656,-0.2730314449118318,-0.237769688793076,directional_model_support,not a therapeutic validation and not a physical communication assay,results\reviewer_risk_validation\temporal_perturbation_leave_one_out.csv
external model-system perturbation/induction,GSE282859 primary human RPE EMT,core_25,0.226503664642227,,,model_system_directional_support,paired induction model; not PVR-specific and not treatment validation,public_database_upgrade_exploration\results\gse282859_paired_emt_validation\paired_module_effects.csv
