axis,sender_annotation,patients,detected_patients,median_shared_axis_score,median_detected_pair_count,sender_rank_within_axis
CCL_CCR,Myeloid,15,3,0.02213290000140943,0.0,1.0
CCL_CCR,Cycling_Myeloid,6,2,0.017450136280061694,0.0,2.0
CCL_CCR,T_NK,15,3,0.017101416068533076,0.0,3.0
CCL_CCR,RPE_like,5,1,0.01186529591990665,0.0,4.0
CCL_CCR,Photoreceptor,5,1,0.007932257550024894,0.0,5.0
CCL_CCR,Muller_Glial,5,1,0.0067370989819841,0.0,6.0
CCL_CCR,Fibroblast_Mesenchymal,15,3,0.004455360079401002,0.0,7.0
CCL_CCR,Endothelial,10,2,0.00015371497558172117,0.0,8.0
CCL_CCR,Erythroid,4,0,0.0,0.0,9.0
CCL_CCR,Pericyte,4,0,0.0,0.0,10.0
CXCL_CXCR,Muller_Glial,5,5,0.1510457157410299,3.0,1.0
CXCL_CXCR,RPE_like,5,5,0.07954762229407272,3.0,2.0
CXCL_CXCR,Myeloid,15,9,0.07678573665319972,4.0,3.0
CXCL_CXCR,Photoreceptor,5,5,0.050065344624365155,1.0,4.0
CXCL_CXCR,Fibroblast_Mesenchymal,15,9,0.036729387240455005,2.0,5.0
CXCL_CXCR,T_NK,15,7,0.02417326496446533,0.0,6.0
CXCL_CXCR,Cycling_Myeloid,6,2,0.020354218271041197,0.0,7.0
CXCL_CXCR,Endothelial,10,4,0.014261587518646758,0.0,8.0
CXCL_CXCR,Pericyte,4,2,0.0010496234802301718,0.5,9.0
CXCL_CXCR,Erythroid,4,1,0.0010348707802211113,0.0,10.0
FN1_integrin,Fibroblast_Mesenchymal,15,15,8.536536469596289,5.0,1.0
FN1_integrin,Pericyte,4,4,7.171478834950902,4.5,2.0
FN1_integrin,Endothelial,10,8,4.302781996387244,4.0,3.0
FN1_integrin,Cycling_Myeloid,6,6,1.9420711780041304,4.0,4.0
FN1_integrin,Erythroid,4,3,1.3500333195945382,4.0,5.0
FN1_integrin,Muller_Glial,5,5,1.2246656706435468,5.0,6.0
FN1_integrin,Myeloid,15,15,1.0264666344186366,5.0,7.0
FN1_integrin,RPE_like,5,5,0.6150675778568546,5.0,8.0
FN1_integrin,T_NK,15,11,0.48805624413281573,4.0,9.0
