feature,patients,positive_patients,median_shared,median_other,mean_difference_shared_minus_other,median_difference_shared_minus_other,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p,metric,wilcoxon_fdr,manuscript_use
ACVR1,15,6,0.14755751109473222,0.14531753454293284,-0.01661945757522789,-0.019178934200906828,-0.0496729890739465,0.015813225910477915,0.42120361328125,mean_log_expression,0.5616048177083334,exploratory_or_not_supported
ACVR1,15,9,0.23076923076923078,0.16201117318435754,0.024889912051584247,0.017857142857142863,-0.009682051923060792,0.062357938245377095,0.30279541015625,expressing_fraction,0.4274758731617647,exploratory_or_not_supported
ACVR2A,15,7,0.07292409669857815,0.05865823162713774,-0.002521577425668483,-0.005300925828301439,-0.029249874492862545,0.024182560675561557,0.846923828125,mean_log_expression,0.846923828125,exploratory_or_not_supported
ACVR2A,15,10,0.09821428571428571,0.072992700729927,0.006945423608185579,0.014616935483870969,-0.02508062515131727,0.03439263626279623,0.48870849609375,expressing_fraction,0.5585239955357143,exploratory_or_not_supported
ACVR2B,15,3,0.02303361214289749,0.05833220921118808,-0.028723798509083343,-0.03788894684720055,-0.042383490630225625,-0.014075859852082238,0.00335693359375,mean_log_expression,0.01611328125,lower_in_shared_state_do_not_emphasize
ACVR2B,15,4,0.043478260869565216,0.07058823529411765,-0.021289097157813595,-0.028985507246376812,-0.037436008268684956,-0.005341184177490276,0.0301513671875,expressing_fraction,0.0904541015625,exploratory_or_not_supported
CCR1,15,5,0.007290277671205988,0.013988284646038966,-0.006831674901015923,0.0,-0.019946971693974764,0.004504678302798637,0.47690655496758394,mean_log_expression,0.6024082799590534,exploratory_or_not_supported
CCR1,15,4,0.011363636363636364,0.017335766423357664,-0.0025799963246039724,0.0,-0.017221653650318722,0.012053027658415025,0.47690655496758394,expressing_fraction,0.5585239955357143,exploratory_or_not_supported
CCR2,15,1,0.0,0.0,-0.0008325349754912502,0.0,-0.002722846083759344,0.0013792713271044874,0.23672357063785732,mean_log_expression,0.355085355956786,exploratory_or_not_supported
CCR2,15,2,0.0,0.0,-0.0011182332659986727,0.0,-0.0032599536314132896,0.0010490586487593415,0.23672357063785732,expressing_fraction,0.3616820524161274,exploratory_or_not_supported
CCR5,15,5,0.0006221628715991625,0.0029619391284024486,0.0027859874848648975,0.0,-0.0026782479435917515,0.009109830163494105,0.6464622026641696,mean_log_expression,0.7757546431970036,exploratory_or_not_supported
CCR5,15,5,0.0011695906432748538,0.002807017543859649,0.0048653220383936095,0.0,-0.001815725432843312,0.013960090977723204,0.3862707203664827,expressing_fraction,0.5150276271553103,exploratory_or_not_supported
CD44,15,9,0.9151602663046744,0.7190591243871288,0.20883949055789822,0.14854889338047939,0.006232942437299431,0.4088988461600329,0.1353759765625,mean_log_expression,0.23207310267857142,exploratory_or_not_supported
CD44,15,9,0.6888888888888889,0.4764705882352941,0.06948469730165453,0.13725490196078438,-0.040437448089695405,0.1709079952449171,0.207763671875,expressing_fraction,0.3616820524161274,exploratory_or_not_supported
CXCR2,15,0,0.0,0.0,-0.004888720407787073,0.0,-0.013864026474178434,-0.0001788170057590312,0.043114446783075355,mean_log_expression,0.11135870849017113,exploratory_or_not_supported
CXCR2,15,0,0.0,0.0,-0.004093752020624945,0.0,-0.011168001022739986,-0.000196078431372549,0.043114446783075355,expressing_fraction,0.11497185808820094,exploratory_or_not_supported
CXCR4,15,4,0.056616120572080396,0.06907901990604387,-0.06065692973821232,-0.024507640183659904,-0.10513332045147239,-0.017200406699760185,0.04639946187090464,mean_log_expression,0.11135870849017113,exploratory_or_not_supported
CXCR4,15,8,0.06783625730994151,0.08653846153846154,0.006468490156263806,0.004738015607580826,-0.012249085219519276,0.026237784326720116,0.6496440323317323,expressing_fraction,0.7082837975543478,exploratory_or_not_supported
FLT1,15,3,0.12955975070082812,0.21696378673845323,-0.23114451418693197,-0.06524418506745346,-0.4024785336569546,-0.07177461493650442,0.0301513671875,mean_log_expression,0.0904541015625,exploratory_or_not_supported
FLT1,15,4,0.13636363636363635,0.19411764705882353,-0.05784010833188808,-0.08534419402253797,-0.1204610444627467,0.011714054882283928,0.15142822265625,expressing_fraction,0.3303888494318182,exploratory_or_not_supported
FLT4,15,2,0.0,0.0002728335087447619,-0.002876300842870342,-0.0002728335087447619,-0.006662643036204496,-9.271905346012019e-05,0.09260069782067576,mean_log_expression,0.18520139564135152,exploratory_or_not_supported
FLT4,15,2,0.0,0.0006112469437652812,-0.001408254528991153,-0.0006112469437652812,-0.004290090229172979,0.0017558125442211439,0.24112136827741826,expressing_fraction,0.3616820524161274,exploratory_or_not_supported
ITGA4,15,10,0.16197583322552242,0.16714770269982315,-0.029054171342700986,0.02045236871295378,-0.10955904297644536,0.03548777762023427,0.7197265625,mean_log_expression,0.7946458899456522,exploratory_or_not_supported
ITGA4,15,10,0.18681318681318682,0.11290322580645161,0.01289723220413015,0.057089314194577356,-0.07065346546989892,0.08269693174521171,0.207763671875,expressing_fraction,0.3616820524161274,exploratory_or_not_supported
ITGA5,15,13,0.2527897206482453,0.06681896475164799,0.18091527507862723,0.11737121939340092,0.09528530692081928,0.27002731371671007,0.00115966796875,mean_log_expression,0.0069580078125,supports_shared_state_context
ITGA5,15,14,0.3048780487804878,0.07526881720430108,0.1797356350432617,0.1517857142857143,0.1101279225694632,0.25433173483029925,0.0006103515625,expressing_fraction,0.003662109375,supports_shared_state_context
ITGA6,15,8,0.05120477879143118,0.07402688885326798,-0.004117500265129733,0.00014470243816394612,-0.04857039549297661,0.04820721240508638,0.76153564453125,mean_log_expression,0.7946458899456522,exploratory_or_not_supported
