accession,disease,sample,state_annotation,size
GSE165784,PDR,GSM5049905_PDR-ERM-51,Low_fibrosis_mixed,23
GSE165784,PDR,GSM5049905_PDR-ERM-51,Muller_stress,15
GSE165784,PDR,GSM5049905_PDR-ERM-51,Pericyte_contractile,25
GSE165784,PDR,GSM5049905_PDR-ERM-51,RPE_inflammatory,5
GSE165784,PDR,GSM5049905_PDR-ERM-51,Shared_ECM_TGFB_high,45
GSE165784,PDR,GSM5049906_PDR-ERM-59,Low_fibrosis_mixed,6
GSE165784,PDR,GSM5049906_PDR-ERM-59,Muller_stress,7
GSE165784,PDR,GSM5049906_PDR-ERM-59,Pericyte_contractile,10
GSE165784,PDR,GSM5049906_PDR-ERM-59,RPE_inflammatory,5
GSE165784,PDR,GSM5049906_PDR-ERM-59,Shared_ECM_TGFB_high,16
GSE165784,PDR,GSM5277737_F47-PDR-ERM,Low_fibrosis_mixed,13
GSE165784,PDR,GSM5277737_F47-PDR-ERM,Muller_stress,11
GSE165784,PDR,GSM5277737_F47-PDR-ERM,Pericyte_contractile,37
GSE165784,PDR,GSM5277737_F47-PDR-ERM,RPE_inflammatory,8
GSE165784,PDR,GSM5277737_F47-PDR-ERM,Shared_ECM_TGFB_high,52
GSE165784,PDR,GSM5690478_PDR-FM-0609,Low_fibrosis_mixed,31
GSE165784,PDR,GSM5690478_PDR-FM-0609,Muller_stress,34
GSE165784,PDR,GSM5690478_PDR-FM-0609,Pericyte_contractile,94
GSE165784,PDR,GSM5690478_PDR-FM-0609,RPE_inflammatory,11
GSE165784,PDR,GSM5690478_PDR-FM-0609,Shared_ECM_TGFB_high,103
GSE165784,PDR,GSM5690479_PDR-ERM-210630,Low_fibrosis_mixed,22
GSE165784,PDR,GSM5690479_PDR-ERM-210630,Muller_stress,16
GSE165784,PDR,GSM5690479_PDR-ERM-210630,Pericyte_contractile,39
GSE165784,PDR,GSM5690479_PDR-ERM-210630,RPE_inflammatory,8
GSE165784,PDR,GSM5690479_PDR-ERM-210630,Shared_ECM_TGFB_high,47
GSE165784,PVR,GSM5049904_RRD-ERM1,Low_fibrosis_mixed,16
GSE165784,PVR,GSM5049904_RRD-ERM1,Muller_stress,12
GSE165784,PVR,GSM5049904_RRD-ERM1,Pericyte_contractile,19
GSE165784,PVR,GSM5049904_RRD-ERM1,RPE_inflammatory,21
GSE165784,PVR,GSM5049904_RRD-ERM1,Shared_ECM_TGFB_high,51
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,Low_fibrosis_mixed,41
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,Muller_stress,14
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,Pericyte_contractile,118
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,RPE_inflammatory,13
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,Shared_ECM_TGFB_high,128
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,Low_fibrosis_mixed,29
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,Muller_stress,14
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,Pericyte_contractile,155
