accession,sample,annotation,cells,second_doublet_candidates
GSE294329,GSM8902421_XZH02,Fibroblast_Mesenchymal,564,0
GSE294329,GSM8902421_XZH02,Muller_Glial,737,0
GSE294329,GSM8902421_XZH02,Myeloid,1123,0
GSE294329,GSM8902421_XZH02,Photoreceptor,1033,0
GSE294329,GSM8902421_XZH02,RPE_like,369,0
GSE294329,GSM8902421_XZH02,Second_round_doublet,37,37
GSE294329,GSM8902421_XZH02,T_NK,2435,0
GSE294329,GSM8902422_WHN03,Fibroblast_Mesenchymal,216,0
GSE294329,GSM8902422_WHN03,Muller_Glial,558,0
GSE294329,GSM8902422_WHN03,Myeloid,1177,0
GSE294329,GSM8902422_WHN03,Photoreceptor,678,0
GSE294329,GSM8902422_WHN03,RPE_like,739,0
GSE294329,GSM8902422_WHN03,Second_round_doublet,35,35
GSE294329,GSM8902422_WHN03,T_NK,1290,0
GSE294329,GSM8902423_ZWB04,Fibroblast_Mesenchymal,168,0
GSE294329,GSM8902423_ZWB04,Muller_Glial,675,0
GSE294329,GSM8902423_ZWB04,Myeloid,993,0
GSE294329,GSM8902423_ZWB04,Photoreceptor,1612,0
GSE294329,GSM8902423_ZWB04,RPE_like,335,0
GSE294329,GSM8902423_ZWB04,Second_round_doublet,20,20
GSE294329,GSM8902423_ZWB04,T_NK,1053,0
GSE294329,GSM8902424_NPC05,Fibroblast_Mesenchymal,191,0
GSE294329,GSM8902424_NPC05,Muller_Glial,454,0
GSE294329,GSM8902424_NPC05,Myeloid,872,0
GSE294329,GSM8902424_NPC05,Photoreceptor,1391,0
GSE294329,GSM8902424_NPC05,RPE_like,126,0
GSE294329,GSM8902424_NPC05,Second_round_doublet,17,17
GSE294329,GSM8902424_NPC05,T_NK,1414,0
GSE294329,GSM8902425_JT06,Fibroblast_Mesenchymal,1076,0
GSE294329,GSM8902425_JT06,Muller_Glial,522,0
GSE294329,GSM8902425_JT06,Myeloid,969,0
GSE294329,GSM8902425_JT06,Photoreceptor,1532,0
GSE294329,GSM8902425_JT06,RPE_like,374,0
GSE294329,GSM8902425_JT06,Second_round_doublet,34,34
GSE294329,GSM8902425_JT06,T_NK,1601,0
GSE245561,GSM7845000_AF-TD-FAW-1,Endothelial,168,0
GSE245561,GSM7845000_AF-TD-FAW-1,Erythroid,29,0
GSE245561,GSM7845000_AF-TD-FAW-1,Fibroblast_Mesenchymal,147,0
GSE245561,GSM7845000_AF-TD-FAW-1,Myeloid,384,0
GSE245561,GSM7845000_AF-TD-FAW-1,Pericyte,167,0
GSE245561,GSM7845000_AF-TD-FAW-1,T_NK,44,0
GSE245561,GSM7845001_AF-TD-FAW-2,Endothelial,346,0
GSE245561,GSM7845001_AF-TD-FAW-2,Erythroid,15,0
GSE245561,GSM7845001_AF-TD-FAW-2,Fibroblast_Mesenchymal,170,0
GSE245561,GSM7845001_AF-TD-FAW-2,Myeloid,466,0
GSE245561,GSM7845001_AF-TD-FAW-2,Pericyte,195,0
GSE245561,GSM7845001_AF-TD-FAW-2,Second_round_doublet,1,1
GSE245561,GSM7845001_AF-TD-FAW-2,T_NK,160,0
GSE245561,GSM7845002_AF-TD-TED-2,Endothelial,1533,0
GSE245561,GSM7845002_AF-TD-TED-2,Erythroid,31,0
GSE245561,GSM7845002_AF-TD-TED-2,Fibroblast_Mesenchymal,885,0
GSE245561,GSM7845002_AF-TD-TED-2,Myeloid,666,0
GSE245561,GSM7845002_AF-TD-TED-2,Pericyte,1096,0
GSE245561,GSM7845002_AF-TD-TED-2,Second_round_doublet,2,2
GSE245561,GSM7845002_AF-TD-TED-2,T_NK,313,0
