gene,detected_patients_cpm_ge_1,median_cpm,mean_log2cpm_PDR,mean_log2cpm_PVR,log2cpm_effect_PDR_minus_PVR,welch_p,mann_whitney_p,effect_GSE245561_PDR_vs_GSE294329_PVR,effect_GSE165784_PDR_vs_GSE294329_PVR,same_direction_both_PDR_cohorts,welch_fdr,mann_whitney_fdr,target_class,cross_disease_external_direction_support,PVR_support_count,GSE60436_PDR_FVM_vs_retina_support,translational_tier,retained_CPM2_all_patients,evidence_role
FN1,15,10848.243724280384,13.62915292998904,12.299802406350608,1.329350523638432,0.0178196909691737,0.0359640359640359,1.4556453963460625,1.8656525543533693,True,0.0843456877872334,0.1197958879263772,Secreted_or_extracellular_regulator,True,3,True,Tier_2_mechanistic,True,Core_and_target_evidence
TIMP1,15,8831.575979280198,13.147085420236014,12.627146585777972,0.519938834458042,0.5233179844637805,0.2721278721278721,0.8665310643417854,1.3574313033425651,True,0.6913688051408033,0.4576852199896135,Secreted_or_extracellular_regulator,True,3,True,Risk_review_context_dependent,True,Core_and_target_evidence
IGFBP7,15,8648.92098412965,13.450426295897593,11.327907968751669,2.122518327145924,1.45810143263871e-06,0.0003996003996003,2.494380692237032,2.095796773838845,True,0.0002244628472872,0.0108250932740728,Secreted_or_extracellular_regulator,True,3,True,Tier_3_emerging,True,Core_and_target_evidence
COL1A1,15,8279.065313158399,13.136210397648004,12.115285920121096,1.0209244775269075,0.0710520021081594,0.0663336663336663,1.729149268386564,0.7783952292634044,True,0.2021614992284381,0.1807663902510957,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
MGP,15,6028.538594139054,13.31790181433451,11.372792316557137,1.9451094977773733,0.0028125242694635,0.0075924075924075,2.860587993695024,1.6393409474356258,True,0.0258038869046628,0.0509512731959648,Secreted_or_extracellular_regulator,False,1,True,Not_prioritized,True,Shared_core_evidence
COL1A2,15,5886.168704802633,12.981640121933184,10.949911095934048,2.0317290259991374,0.0078421407000571,0.0027972027972027,2.722080448982448,2.0709307051837627,True,0.0506871054658461,0.0279593900075827,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
TAGLN,15,4462.162923204026,12.301456302232184,4.656262340154945,7.645193962077239,0.0003625476568829,0.0003996003996003,8.476796205020445,8.509960286514216,True,0.0067602372246103,0.0108250932740728,Intracellular_or_contractile,False,1,True,Not_prioritized,True,Shared_core_evidence
COL3A1,15,3208.2323954553763,11.855144528106427,10.868014647478496,0.9871298806279328,0.3011336924747991,0.3276723276723276,2.0280931801049285,0.9554892782892423,True,0.4988998817011471,0.5132179914480799,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
POSTN,15,2980.7457522139703,11.771381116224816,10.110419511646008,1.660961604578807,0.0225506787084717,0.0075924075924075,1.8386894404996423,2.10314572343475,True,0.0973421700102565,0.0509512731959648,Secreted_or_extracellular_regulator,True,3,True,Tier_1_direct_ocular,True,Core_and_target_evidence
SERPINE1,15,1762.8608080976048,10.60686772151166,11.034807794439024,-0.4279400729273668,0.4393490724410899,0.3884115884115883,-0.3181865471409058,-1.0787073198381396,True,0.6189127867682048,0.5754855926526872,Secreted_or_extracellular_regulator,True,3,True,Risk_review_context_dependent,True,Core_and_target_evidence
SULF1,15,1497.5664545114191,10.763525783203669,10.120238947672595,0.6432868355310735,0.1186520633784005,0.1446553446553446,0.4476883735048069,1.231964009375119,True,0.2800561003862801,0.2992293976866206,Secreted_or_extracellular_regulator,True,3,True,Tier_3_emerging,True,Core_and_target_evidence
COL4A1,15,1211.6427353520069,10.464835566668665,6.47531479666273,3.989520770005933,1.2009836312054528e-06,0.0003996003996003,4.087053256575993,3.928743722914426,True,0.0002012635733358,0.0108250932740728,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
BGN,15,1073.6123860965808,10.910572469080613,9.146185398520984,1.7643870705596283,0.0146523687279494,0.0255744255744255,3.0976019888548034,1.277427384280033,True,0.0756776320984775,0.1037198060112817,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
VCAN,15,960.05329275421,10.211630440233357,9.565775545874132,0.6458548943592248,0.1993810341707537,0.181018981018981,0.6496514938757336,1.141231060541811,True,0.385808078845069,0.3453853606505612,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
DCN,15,732.2716280029776,10.087061343501633,9.241321093109876,0.8457402503917546,0.3273710440223027,0.4559440559440558,1.1231480561830145,1.5446121616336406,True,0.524871208561667,0.6380140626819942,ECM_structural,True,2,True,Not_prioritized,True,Shared_core_evidence
COL5A1,15,717.6420841993676,9.63530104386264,8.778449538811456,0.8568515050511838,0.1133642472399807,0.1446553446553446,0.7838744351808948,1.3460667691856916,True,0.2715450098082332,0.2992293976866206,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
LUM,15,670.6981657227549,9.783560854641816,6.0934423918965726,3.690118462745244,0.0143675277369397,0.0075924075924075,4.677371109388521,4.194193436769722,True,0.0748186530089535,0.0509512731959648,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
CFH,15,586.6202928932589,8.78613439095985,9.44363774556406,-0.6575033546042093,0.226606438977382,0.3884115884115883,-0.723737844345667,-0.2367813792763904,True,0.4173682033418976,0.5754855926526872,Secreted_or_extracellular_regulator,True,3,True,Do_not_inhibit_retinal_protective,True,Core_and_target_evidence
COL4A2,15,515.3593534981387,9.801146899485587,7.112906267523452,2.6882406319621355,0.0001027532740705,0.0007992007992007,3.406118502057395,1.7450609652788236,True,0.0030638526923862,0.0155096365622681,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
THBS2,15,481.3606460929561,8.910080506365539,4.024927980834609,4.88515252553093,0.0116090379251019,0.0359640359640359,6.0292889566807935,6.1360824056925205,True,0.0652923191117876,0.1197958879263772,Secreted_or_extracellular_regulator,True,3,True,Tier_2_mechanistic,False,Core_and_target_evidence
COL8A1,15,465.7371626730505,9.086718474462652,8.802479423614809,0.2842390508478427,0.4249152662636588,0.5286713286713286,0.0990931961479653,0.7199090618827668,True,0.6067141080742643,0.6995895939371165,ECM_structural,True,3,True,Not_prioritized,True,Shared_core_evidence
AEBP1,15,454.1096175950354,9.36586159526396,7.800087912765935,1.5657736824980262,0.1335888399120172,0.0663336663336663,2.4433945712423286,2.016257610936344,True,0.3011575195007377,0.1807663902510957,Secreted_or_extracellular_regulator,True,2,True,Tier_2_mechanistic,True,Core_and_target_evidence
CTHRC1,15,320.33571182599366,8.947208224578311,7.705099678430781,1.24210854614753,0.0676968343391917,0.0495504495504495,2.08420335786297,1.4237717634391591,True,0.1960812269051777,0.1480712893589976,Secreted_or_extracellular_regulator,True,3,True,Tier_2_mechanistic,True,Core_and_target_evidence
FHL2,15,259.80238937795167,8.430654499999163,7.176179127950605,1.2544753720485575,0.0001678442565688,0.0007992007992007,1.1880268729976995,1.1708174007732275,True,0.0041287924992764,0.0155096365622681,Intracellular_or_contractile,True,2,True,Not_prioritized,True,Shared_core_evidence
MICAL2,15,148.0287504728696,7.985930529966009,6.65744618136981,1.3284843485961986,0.0097362750091328,0.0027972027972027,2.143455972919675,0.8090185116234458,True,0.0586419309308898,0.0279593900075827,Intracellular_or_contractile,True,3,True,Not_prioritized,True,Shared_core_evidence
