gene,translational_tier,shared_cells,other_target_state_cells,shared_expressing_fraction,other_expressing_fraction,expressing_fraction_difference,expressing_fraction_ratio,shared_mean_log_expression,other_mean_log_expression,mean_log_expression_difference,patients,patients_any_expression,patients_expression_fraction_ge_10pct,median_patient_expressing_fraction,min_patient_expressing_fraction,median_patient_mean_log_expression,highest_non_target_cell_type,highest_non_target_expressing_fraction,highest_non_target_mean_log_expression,PDR_median_patient_expressing_fraction,PVR_median_patient_expressing_fraction,cross_disease_balance_ratio,experimental_role,cross_disease_external_direction_support,PVR_support_count,GSE60436_PDR_FVM_vs_retina_support,mechanism_rationale,literature_urls,integrated_decision,key_boundary
POSTN,Tier_1_direct_ocular,2335,8364,0.6985010706638116,0.1397656623625059,0.5587354083013056,4.997658644167768,2.070687900602247,0.2064244608827756,1.8642634397194715,15,15,15,0.7659574468085106,0.1978021978021978,2.5410045767039766,Endothelial,0.2218803418803419,0.3726674208650167,0.9423076923076924,0.3313041125541125,0.3515880378125275,Primary intervention target,True,3,True,Direct human PVR/PDR membrane evidence and experimental ocular blockade evidence.,https://pubmed.ncbi.nlm.nih.gov/24022401/; https://pubmed.ncbi.nlm.nih.gov/28913545/,Primary_candidate,PDR-biased expression; efficacy still requires intervention testing.
AEBP1,Tier_2_mechanistic,2335,8364,0.7160599571734475,0.2706838833094213,0.4453760738640261,2.645373446024167,1.5759439583805614,0.2840478301518396,1.2918961282287218,15,15,15,0.8222222222222222,0.2023809523809523,1.4639094051680943,Endothelial,0.3323076923076923,0.3684886273264237,0.9361702127659576,0.44720066518847,0.4776916196331385,PDR-weighted mechanistic comparator,True,2,True,Linked to pericyte-myofibroblast transformation in PDR and promotes fibrosis in other organs.,https://pubmed.ncbi.nlm.nih.gov/37917183/; https://pubmed.ncbi.nlm.nih.gov/36738398/,Mechanistic_candidate,PDR-biased and lacks direct ocular intervention evidence.
CTHRC1,Tier_2_mechanistic,2335,8364,0.6578158458244111,0.1646341463414634,0.4931816994829476,3.9956221746371634,1.0775217063885816,0.1672426688190648,0.9102790375695168,15,15,15,0.6875,0.3214285714285714,1.1694197315140356,Endothelial,0.4581196581196581,0.6263411504894706,0.8125,0.4340659340659341,0.5342349957734573,Cross-disease mechanistic comparator,True,3,True,Marks pathogenic myofibroblasts and promotes TGF-beta-linked fibrosis; ocular intervention evidence is not yet direct.,https://pubmed.ncbi.nlm.nih.gov/30639416/; https://pubmed.ncbi.nlm.nih.gov/38834096/,Mechanistic_candidate,PDR-biased and endothelial expression requires safety review.
FN1,Tier_2_mechanistic,2335,8364,0.9584582441113492,0.5704208512673362,0.3880373928440128,1.6802650919612918,3.958363508261677,1.4632117046750222,2.495151803586655,15,15,15,1.0,0.7613636363636364,4.4128946316529065,Cycling_Myeloid,0.7948717948717948,2.467080638935707,1.0,0.8744276556776557,0.8744276556776557,Broad ECM positive control; safety-limited target,True,3,True,Central injury-associated ECM and potentially targetable through disease-associated fibronectin domains; broad normal-matrix expression is a risk.,https://pubmed.ncbi.nlm.nih.gov/27484779/; https://pubmed.ncbi.nlm.nih.gov/28827403/,Mechanistic_candidate,Broad ECM and non-target expression limits specificity.
THBS2,Tier_2_mechanistic,2335,8364,0.5927194860813705,0.0710186513629842,0.5217008347183862,8.345969329266975,1.1803829948555034,0.060778936495804,1.1196040583596991,15,15,12,0.7843137254901961,0.0178571428571428,1.1038386685350627,Endothelial,0.1179487179487179,0.1587219277504641,0.8222222222222222,0.0841033966033966,0.1022879147879148,PDR-weighted state-specific comparator,True,3,True,Extracellular activator of TLR4-FAK/TGF-beta fibrosis; retinal fibrosis association but no direct PVR/PDR blockade study.,https://pubmed.ncbi.nlm.nih.gov/38379585/; https://pubmed.ncbi.nlm.nih.gov/35039609/,Mechanistic_candidate,Fails CPM >= 2 in all patients and is strongly PDR-biased.
IGFBP7,Tier_3_emerging,2335,8364,0.9537473233404712,0.6432329029172644,0.3105144204232066,1.482740262531543,3.962862716529012,2.122212155286733,1.8406505612422783,15,15,15,1.0,0.8445378151260504,4.173949157916448,Endothelial,0.9302564102564104,3.219343173736588,1.0,0.877518315018315,0.877518315018315,Broad endothelial-associated emerging marker,True,3,True,Fibrosis-associated secreted factor with emerging intervention evidence outside the eye.,https://pubmed.ncbi.nlm.nih.gov/40381971/,Emerging_candidate,Very broad endothelial expression.
SULF1,Tier_3_emerging,2335,8364,0.8993576017130621,0.5480631276901005,0.3512944740229616,1.6409744722356132,2.2584525266950286,0.9786102512590816,1.279842275435947,15,15,15,0.9411764705882352,0.7195121951219512,2.3433494507004613,Endothelial,0.1716239316239316,0.2436189396245368,0.9777777777777776,0.7702922077922079,0.7877988488783945,Cross-disease emerging comparator,True,3,True,Emerging extracellular regulator that can promote TGF-beta/SMAD fibrosis; ocular mechanism is unvalidated.,https://pubmed.ncbi.nlm.nih.gov/39354547/,Emerging_candidate,Cross-disease balanced but ocular mechanism remains unvalidated.
SERPINE1,Risk_review_context_dependent,2335,8364,0.8299785867237688,0.3397895743663319,0.4901890123574369,2.442625228486137,2.430985203227014,0.5699398497010012,1.8610453535260127,15,15,15,0.8478260869565217,0.4230769230769231,2.17986938132392,Endothelial,0.4341880341880342,0.8116070939476415,0.8478260869565217,0.8005226480836236,0.9442062003037612,Context-dependent risk control,True,3,True,"Present in PVR/PDR membranes and targetable, but PAI-1 can be pro- or anti-fibrotic depending on context.",https://pubmed.ncbi.nlm.nih.gov/14562162/; https://pubmed.ncbi.nlm.nih.gov/40894033/; https://pubmed.ncbi.nlm.nih.gov/33432417/,Risk_review,Context-dependent despite strong expression support.
TIMP1,Risk_review_context_dependent,2335,8364,0.9203426124197002,0.6640363462458154,0.2563062661738847,1.3859822848898762,3.308014542483792,1.4802359435936194,1.827778598890172,15,15,15,0.9812865497076024,0.7083333333333334,3.5232015410934885,Cycling_Myeloid,0.8005698005698005,1.6909320594492343,1.0,0.882257448433919,0.882257448433919,Context-dependent risk control,True,3,True,ECM-remodeling marker with context-dependent effects; inhibition could increase matrix degradation or injury unpredictably.,https://pubmed.ncbi.nlm.nih.gov/24526442/; https://pubmed.ncbi.nlm.nih.gov/11004090/,Risk_review,Context-dependent and broadly expressed.
CFH,Do_not_inhibit_retinal_protective,2335,8364,0.7498929336188437,0.3669296987087518,0.3829632349100919,2.043696479891824,1.5986072045160542,0.4769791846931397,1.1216280198229145,15,15,15,0.7021276595744681,0.3671875,1.3656981757676845,Endothelial,0.5100854700854701,0.694370929902484,0.8666666666666667,0.5677660753880266,0.6551147023707999,Retinal-protective non-inhibition safety control,True,3,True,Complement inhibitor with retinal protective functions; expression support must not be interpreted as rationale for inhibition.,https://pubmed.ncbi.nlm.nih.gov/35038170/; https://pubmed.ncbi.nlm.nih.gov/25447048/,Do_not_inhibit,Retinal-protective factor; do not infer inhibition benefit.
