accession,disease,sample,target_cells,shared_state_cells,shared_state_fraction_of_target
GSE165784,PDR,GSM5049905_PDR-ERM-51,113,45,0.39823008849557523
GSE165784,PDR,GSM5049906_PDR-ERM-59,44,16,0.36363636363636365
GSE165784,PDR,GSM5277737_F47-PDR-ERM,121,52,0.4297520661157025
GSE165784,PDR,GSM5690478_PDR-FM-0609,273,103,0.3772893772893773
GSE165784,PDR,GSM5690479_PDR-ERM-210630,132,47,0.3560606060606061
GSE165784,PVR,GSM5049904_RRD-ERM1,119,51,0.42857142857142855
GSE245561,PDR,GSM7845000_AF-TD-FAW-1,314,128,0.40764331210191085
GSE245561,PDR,GSM7845001_AF-TD-FAW-2,365,157,0.4301369863013699
GSE245561,PDR,GSM7845002_AF-TD-TED-2,1981,855,0.4316002019182231
GSE245561,PDR,GSM7845003_AF-TTF-1,133,46,0.3458646616541353
GSE294329,PVR,GSM8902421_XZH02,1670,238,0.14251497005988023
GSE294329,PVR,GSM8902422_WHN03,1513,88,0.05816259087904825
GSE294329,PVR,GSM8902423_ZWB04,1178,82,0.06960950764006792
GSE294329,PVR,GSM8902424_NPC05,771,91,0.11802853437094682
GSE294329,PVR,GSM8902425_JT06,1972,336,0.17038539553752535
