gene,detected_patients_cpm_ge_1,median_cpm,mean_log2cpm_PDR,mean_log2cpm_PVR,log2cpm_effect_PDR_minus_PVR,welch_p,mann_whitney_p,effect_GSE245561_PDR_vs_GSE294329_PVR,effect_GSE165784_PDR_vs_GSE294329_PVR,same_direction_both_PDR_cohorts,welch_fdr,mann_whitney_fdr
FN1,15,10848.243724280383,13.62915292998904,12.299802406350608,1.329350523638432,0.017819690969173792,0.03596403596403597,1.4556453963460623,1.8656525543533693,True,0.0843456877872334,0.11979588792637728
TIMP1,15,8831.575979280198,13.147085420236014,12.627146585777972,0.519938834458042,0.5233179844637805,0.2721278721278721,0.8665310643417854,1.3574313033425653,True,0.6913688051408033,0.4576852199896135
IGFBP7,15,8648.92098412965,13.450426295897593,11.327907968751669,2.122518327145924,1.45810143263871e-06,0.0003996003996003996,2.4943806922370317,2.0957967738388454,True,0.00022446284728725444,0.010825093274072866
COL1A1,15,8279.065313158399,13.136210397648004,12.115285920121096,1.0209244775269077,0.07105200210815941,0.06633366633366634,1.7291492683865641,0.7783952292634044,True,0.2021614992284381,0.1807663902510957
MGP,15,6028.538594139054,13.31790181433451,11.372792316557137,1.9451094977773735,0.0028125242694635928,0.007592407592407592,2.860587993695024,1.6393409474356258,True,0.02580388690466286,0.0509512731959648
COL1A2,15,5886.168704802633,12.981640121933184,10.949911095934047,2.0317290259991374,0.007842140700057138,0.002797202797202797,2.7220804489824477,2.0709307051837627,True,0.05068710546584613,0.02795939000758278
TAGLN,15,4462.162923204026,12.301456302232184,4.656262340154945,7.645193962077239,0.00036254765688294735,0.0003996003996003996,8.476796205020445,8.509960286514216,True,0.006760237224610338,0.010825093274072866
COL3A1,15,3208.2323954553763,11.855144528106429,10.868014647478496,0.9871298806279327,0.30113369247479915,0.3276723276723276,2.0280931801049285,0.9554892782892423,True,0.4988998817011471,0.5132179914480799
POSTN,15,2980.7457522139703,11.771381116224815,10.110419511646008,1.660961604578807,0.022550678708471703,0.007592407592407592,1.8386894404996426,2.10314572343475,True,0.09734217001025657,0.0509512731959648
SERPINE1,15,1762.8608080976048,10.606867721511659,11.034807794439025,-0.4279400729273668,0.4393490724410899,0.38841158841158835,-0.3181865471409058,-1.0787073198381396,True,0.6189127867682048,0.5754855926526872
SULF1,15,1497.5664545114191,10.763525783203669,10.120238947672595,0.6432868355310735,0.11865206337840056,0.14465534465534466,0.44768837350480695,1.231964009375119,True,0.2800561003862801,0.29922939768662066
COL4A1,15,1211.6427353520069,10.464835566668663,6.47531479666273,3.9895207700059334,1.2009836312054528e-06,0.0003996003996003996,4.087053256575993,3.928743722914426,True,0.00020126357333580998,0.010825093274072866
BGN,15,1073.6123860965808,10.910572469080613,9.146185398520984,1.7643870705596285,0.01465236872794946,0.025574425574425574,3.0976019888548034,1.277427384280033,True,0.0756776320984775,0.10371980601128172
VCAN,15,960.0532927542101,10.211630440233357,9.565775545874132,0.6458548943592248,0.19938103417075378,0.181018981018981,0.6496514938757336,1.141231060541811,True,0.38580807884506907,0.3453853606505612
DCN,15,732.2716280029776,10.087061343501631,9.241321093109876,0.8457402503917546,0.3273710440223027,0.45594405594405585,1.1231480561830143,1.5446121616336406,True,0.524871208561667,0.6380140626819942
COL5A1,15,717.6420841993676,9.63530104386264,8.778449538811456,0.8568515050511838,0.11336424723998074,0.14465534465534466,0.7838744351808948,1.3460667691856916,True,0.2715450098082332,0.29922939768662066
LUM,15,670.6981657227549,9.783560854641816,6.0934423918965726,3.690118462745244,0.014367527736939794,0.007592407592407592,4.677371109388521,4.194193436769722,True,0.07481865300895356,0.0509512731959648
CFH,15,586.6202928932589,8.78613439095985,9.44363774556406,-0.6575033546042093,0.22660643897738203,0.38841158841158835,-0.723737844345667,-0.23678137927639042,True,0.41736820334189767,0.5754855926526872
COL4A2,15,515.3593534981387,9.801146899485587,7.112906267523452,2.6882406319621355,0.00010275327407051197,0.0007992007992007992,3.406118502057395,1.7450609652788236,True,0.0030638526923862795,0.01550963656226814
THBS2,15,481.36064609295613,8.910080506365539,4.024927980834609,4.88515252553093,0.011609037925101994,0.03596403596403597,6.0292889566807935,6.1360824056925205,True,0.06529231911178768,0.11979588792637728
COL8A1,15,465.73716267305053,9.086718474462652,8.802479423614809,0.28423905084784273,0.4249152662636588,0.5286713286713286,0.0990931961479653,0.7199090618827668,True,0.6067141080742643,0.6995895939371165
AEBP1,15,454.10961759503544,9.365861595263961,7.800087912765935,1.5657736824980262,0.13358883991201728,0.06633366633366634,2.4433945712423286,2.0162576109363437,True,0.30115751950073777,0.1807663902510957
CTHRC1,15,320.33571182599366,8.947208224578311,7.7050996784307815,1.2421085461475299,0.06769683433919171,0.04955044955044956,2.08420335786297,1.4237717634391593,True,0.19608122690517774,0.1480712893589976
FHL2,15,259.80238937795167,8.430654499999163,7.176179127950605,1.2544753720485575,0.00016784425656886346,0.0007992007992007992,1.1880268729976997,1.1708174007732275,True,0.0041287924992764865,0.01550963656226814
MICAL2,15,148.0287504728696,7.985930529966009,6.65744618136981,1.3284843485961986,0.009736275009132848,0.002797202797202797,2.143455972919675,0.8090185116234458,True,0.058641930930889846,0.02795939000758278
