sample,accession,disease,shared_state_cells
GSM5049904_RRD-ERM1,GSE165784,PVR,51
GSM5049905_PDR-ERM-51,GSE165784,PDR,45
GSM5049906_PDR-ERM-59,GSE165784,PDR,16
GSM5277737_F47-PDR-ERM,GSE165784,PDR,52
GSM5690478_PDR-FM-0609,GSE165784,PDR,103
GSM5690479_PDR-ERM-210630,GSE165784,PDR,47
GSM7845000_AF-TD-FAW-1,GSE245561,PDR,128
GSM7845001_AF-TD-FAW-2,GSE245561,PDR,157
GSM7845002_AF-TD-TED-2,GSE245561,PDR,855
GSM7845003_AF-TTF-1,GSE245561,PDR,46
GSM8902421_XZH02,GSE294329,PVR,238
GSM8902422_WHN03,GSE294329,PVR,88
GSM8902423_ZWB04,GSE294329,PVR,82
GSM8902424_NPC05,GSE294329,PVR,91
GSM8902425_JT06,GSE294329,PVR,336
