excluded_sample,remaining_patients,remaining_PVR_patients,remaining_PDR_patients,formal_core_retained,formal_core_total,formal_core_retention_fraction,lost_formal_core_genes
GSM5049904_RRD-ERM1,14,5,9,25,25,1.0,
GSM5049905_PDR-ERM-51,14,6,8,25,25,1.0,
GSM5049906_PDR-ERM-59,14,6,8,25,25,1.0,
GSM5277737_F47-PDR-ERM,14,6,8,25,25,1.0,
GSM5690478_PDR-FM-0609,14,6,8,25,25,1.0,
GSM5690479_PDR-ERM-210630,14,6,8,25,25,1.0,
GSM7845000_AF-TD-FAW-1,14,6,8,25,25,1.0,
GSM7845001_AF-TD-FAW-2,14,6,8,25,25,1.0,
GSM7845002_AF-TD-TED-2,14,6,8,25,25,1.0,
GSM7845003_AF-TTF-1,14,6,8,25,25,1.0,
GSM8902421_XZH02,14,5,9,25,25,1.0,
GSM8902422_WHN03,14,5,9,25,25,1.0,
GSM8902423_ZWB04,14,5,9,25,25,1.0,
GSM8902424_NPC05,14,5,9,25,25,1.0,
GSM8902425_JT06,14,5,9,25,25,1.0,
