gene,patients,patients_any_expression,patients_expression_fraction_ge_10pct,median_patient_expressing_fraction,min_patient_expressing_fraction,median_patient_mean_log_expression
AEBP1,15,15,15,0.8222222222222222,0.20238095238095238,1.4639094051680943
CFH,15,15,15,0.7021276595744681,0.3671875,1.3656981757676845
CTHRC1,15,15,15,0.6875,0.32142857142857145,1.1694197315140356
FN1,15,15,15,1.0,0.7613636363636364,4.4128946316529065
IGFBP7,15,15,15,1.0,0.8445378151260504,4.173949157916448
POSTN,15,15,15,0.7659574468085106,0.1978021978021978,2.5410045767039766
SERPINE1,15,15,15,0.8478260869565217,0.4230769230769231,2.17986938132392
SULF1,15,15,15,0.9411764705882353,0.7195121951219512,2.3433494507004613
THBS2,15,15,12,0.7843137254901961,0.017857142857142856,1.1038386685350627
TIMP1,15,15,15,0.9812865497076023,0.7083333333333334,3.5232015410934885
