gene,shared_cells,other_target_state_cells,shared_expressing_fraction,other_expressing_fraction,expressing_fraction_difference,expressing_fraction_ratio,shared_mean_log_expression,other_mean_log_expression,mean_log_expression_difference
POSTN,2335,8364,0.6985010706638116,0.13976566236250598,0.5587354083013056,4.9976586441677675,2.070687900602247,0.20642446088277566,1.8642634397194713
FN1,2335,8364,0.9584582441113491,0.5704208512673362,0.38803739284401284,1.6802650919612918,3.958363508261677,1.4632117046750222,2.495151803586655
THBS2,2335,8364,0.5927194860813705,0.07101865136298421,0.5217008347183862,8.345969329266975,1.1803829948555034,0.06077893649580407,1.1196040583596993
CTHRC1,2335,8364,0.6578158458244111,0.16463414634146342,0.49318169948294766,3.9956221746371634,1.0775217063885816,0.16724266881906485,0.9102790375695167
AEBP1,2335,8364,0.7160599571734475,0.27068388330942134,0.44537607386402617,2.645373446024167,1.5759439583805614,0.2840478301518396,1.2918961282287218
IGFBP7,2335,8364,0.9537473233404711,0.6432329029172644,0.31051442042320665,1.482740262531543,3.962862716529012,2.1222121552867335,1.8406505612422785
SULF1,2335,8364,0.8993576017130621,0.5480631276901005,0.35129447402296166,1.6409744722356132,2.2584525266950286,0.9786102512590815,1.279842275435947
CFH,2335,8364,0.7498929336188437,0.3669296987087518,0.3829632349100919,2.0436964798918242,1.5986072045160542,0.47697918469313977,1.1216280198229145
TIMP1,2335,8364,0.9203426124197002,0.6640363462458154,0.25630626617388474,1.3859822848898762,3.3080145424837917,1.4802359435936194,1.8277785988901722
SERPINE1,2335,8364,0.8299785867237688,0.3397895743663319,0.4901890123574369,2.442625228486137,2.430985203227014,0.5699398497010012,1.8610453535260127
