disease,state_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PDR,Low_fibrosis_mixed,POSTN,250,141,0.564,1.3017675770160841,2.30809854080866
PDR,Low_fibrosis_mixed,FN1,250,245,0.98,3.7258837852876114,3.8019222298853177
PDR,Low_fibrosis_mixed,THBS2,250,70,0.28,0.38358819827014484,1.3699578509648032
PDR,Low_fibrosis_mixed,CTHRC1,250,83,0.332,0.48485975547410604,1.460420950223211
PDR,Low_fibrosis_mixed,AEBP1,250,126,0.504,0.7971389769102218,1.5816249541869485
PDR,Low_fibrosis_mixed,IGFBP7,250,247,0.988,4.370920703798641,4.424008809512794
PDR,Low_fibrosis_mixed,SULF1,250,140,0.56,1.143578154982054,2.042103848182239
PDR,Low_fibrosis_mixed,CFH,250,113,0.452,0.6596573776899908,1.459418977190245
PDR,Low_fibrosis_mixed,TIMP1,250,217,0.868,2.753676290374744,3.1724381225515486
PDR,Low_fibrosis_mixed,SERPINE1,250,114,0.456,1.0605131426530707,2.325686716344453
PDR,Muller_stress,POSTN,147,73,0.4965986394557823,1.0332949015083435,2.080744527694883
PDR,Muller_stress,FN1,147,146,0.9931972789115646,3.52376965681226,3.5479050654205633
PDR,Muller_stress,THBS2,147,54,0.3673469387755102,0.36896224321387233,1.0043972176377636
PDR,Muller_stress,CTHRC1,147,84,0.5714285714285714,0.830980422001589,1.4542157385027805
PDR,Muller_stress,AEBP1,147,106,0.7210884353741497,1.0109518305164487,1.4019803687350754
PDR,Muller_stress,IGFBP7,147,146,0.9931972789115646,4.509916121711207,4.540805958161283
PDR,Muller_stress,SULF1,147,114,0.7755102040816326,1.3997291818569118,1.8049139450260177
PDR,Muller_stress,CFH,147,88,0.5986394557823129,0.8054637077630256,1.3454905118314173
PDR,Muller_stress,TIMP1,147,144,0.9795918367346939,3.3149816737050855,3.384043791907275
PDR,Muller_stress,SERPINE1,147,97,0.6598639455782312,1.1599450066434511,1.757854803882343
PDR,Pericyte_contractile,POSTN,1548,677,0.43733850129198965,0.5325119978105753,1.2176197527485533
PDR,Pericyte_contractile,FN1,1548,1537,0.9928940568475452,3.6515693208380835,3.6777028683522146
PDR,Pericyte_contractile,THBS2,1548,379,0.24483204134366926,0.1542380636795019,0.6299749936038759
PDR,Pericyte_contractile,CTHRC1,1548,314,0.20284237726098192,0.13332316176100847,0.6572746955606406
PDR,Pericyte_contractile,AEBP1,1548,1073,0.6931524547803618,0.6669826257813719,0.9622452047619419
PDR,Pericyte_contractile,IGFBP7,1548,1546,0.9987080103359173,4.688544791009007,4.694610178836961
PDR,Pericyte_contractile,SULF1,1548,767,0.49547803617571057,0.5334219411962475,1.076580397616416
PDR,Pericyte_contractile,CFH,1548,1144,0.7390180878552972,0.7903659096013483,1.0694811434116147
PDR,Pericyte_contractile,TIMP1,1548,1495,0.9657622739018088,2.9736247580674613,3.0790442310959394
PDR,Pericyte_contractile,SERPINE1,1548,776,0.5012919896640827,0.7834136633340528,1.5627891119086519
PDR,RPE_inflammatory,POSTN,82,62,0.7560975609756098,1.8990529381457983,2.511650660128314
PDR,RPE_inflammatory,FN1,82,81,0.9878048780487805,3.8530011296437467,3.900569044824533
PDR,RPE_inflammatory,THBS2,82,61,0.7439024390243902,1.0331034675782365,1.388762038383859
PDR,RPE_inflammatory,CTHRC1,82,57,0.6951219512195121,1.0037689677678512,1.4440185150344527
PDR,RPE_inflammatory,AEBP1,82,68,0.8292682926829268,1.51737534617941,1.8297761527457592
PDR,RPE_inflammatory,IGFBP7,82,82,1.0,4.8738255420620975,4.8738255420620975
PDR,RPE_inflammatory,SULF1,82,72,0.8780487804878049,1.9902439050266039,2.2666666696136324
PDR,RPE_inflammatory,CFH,82,62,0.7560975609756098,1.2923688101332733,1.7092619746923938
PDR,RPE_inflammatory,TIMP1,82,80,0.975609756097561,3.390265106438466,3.475021734099427
PDR,RPE_inflammatory,SERPINE1,82,40,0.4878048780487805,0.9626461357110206,1.9734245782075928
PDR,Shared_ECM_TGFB_high,POSTN,1449,1357,0.9365079365079365,2.796329742069007,2.9859114194974143
PDR,Shared_ECM_TGFB_high,FN1,1449,1448,0.9993098688750862,4.466529132295147,4.469613751861649
PDR,Shared_ECM_TGFB_high,THBS2,1449,1283,0.8854382332643203,1.8119052330620544,2.0463372429516107
PDR,Shared_ECM_TGFB_high,CTHRC1,1449,1158,0.7991718426501035,1.3718730356543518,1.716618332178891
PDR,Shared_ECM_TGFB_high,AEBP1,1449,1351,0.9323671497584541,2.197932415661391,2.3573679276782795
PDR,Shared_ECM_TGFB_high,IGFBP7,1449,1448,0.9993098688750862,4.705806641938462,4.709056508403889
PDR,Shared_ECM_TGFB_high,SULF1,1449,1404,0.968944099378882,2.4807272289408107,2.560237717047888
PDR,Shared_ECM_TGFB_high,CFH,1449,1251,0.8633540372670807,1.802048673137641,2.087265009893239
PDR,Shared_ECM_TGFB_high,TIMP1,1449,1423,0.9820565907522429,3.6907849140026836,3.7582201970413838
PDR,Shared_ECM_TGFB_high,SERPINE1,1449,1205,0.831608005521049,2.344423662151203,2.8191451339892892
PVR,Low_fibrosis_mixed,POSTN,2666,46,0.0172543135783946,0.042152649050921455,2.443020921081666
PVR,Low_fibrosis_mixed,FN1,2666,565,0.21192798199549887,0.5822459876530929,2.747376642625037
PVR,Low_fibrosis_mixed,THBS2,2666,7,0.002625656414103526,0.00638386976679196,2.431342399752481
PVR,Low_fibrosis_mixed,CTHRC1,2666,75,0.028132033008252063,0.06197086256374957,2.202857594599418
PVR,Low_fibrosis_mixed,AEBP1,2666,59,0.02213053263315829,0.050978173968800826,2.303522233912254
PVR,Low_fibrosis_mixed,IGFBP7,2666,752,0.2820705176294073,0.8289107971648587,2.938665139948821
PVR,Low_fibrosis_mixed,SULF1,2666,668,0.25056264066016504,0.6521018260069408,2.602550101997761
PVR,Low_fibrosis_mixed,CFH,2666,151,0.056639159789947484,0.13996320050393393,2.4711383612151514
PVR,Low_fibrosis_mixed,TIMP1,2666,787,0.29519879969992496,0.8396663549857971,2.8444097870293965
PVR,Low_fibrosis_mixed,SERPINE1,2666,433,0.16241560390097523,0.4684952889264009,2.884546051449849
PVR,Muller_stress,POSTN,1927,96,0.049818370524130774,0.04929826247287978,0.9895599144295764
PVR,Muller_stress,FN1,1927,1374,0.7130254281266217,1.2235934770891295,1.7160586829335902
PVR,Muller_stress,THBS2,1927,16,0.008303061754021795,0.005894393787867466,0.709906051826288
PVR,Muller_stress,CTHRC1,1927,197,0.10223144784639336,0.08436636262964778,0.8252486334382297
PVR,Muller_stress,AEBP1,1927,609,0.3160352880124546,0.2808666360229009,0.8887192243286209
PVR,Muller_stress,IGFBP7,1927,952,0.49403217436429686,0.5650973597762917,1.1438472818160865
PVR,Muller_stress,SULF1,1927,1455,0.755059678256357,1.2605609428487439,1.6694851799790575
PVR,Muller_stress,CFH,1927,206,0.10690192008303062,0.10103745561930298,0.9451416358174605
PVR,Muller_stress,TIMP1,1927,1448,0.7514270887389725,1.0952363613796035,1.4575417599299008
PVR,Muller_stress,SERPINE1,1927,946,0.49091852620653864,0.7278282527524866,1.4825846121078665
PVR,Pericyte_contractile,POSTN,90,3,0.03333333333333333,0.07280919906817539,2.1842759720452616
PVR,Pericyte_contractile,FN1,90,31,0.34444444444444444,0.9181978072027994,2.66573556929845
PVR,Pericyte_contractile,THBS2,90,1,0.011111111111111112,0.01244592378924528,1.1201331410320752
PVR,Pericyte_contractile,CTHRC1,90,20,0.2222222222222222,0.3929681425139244,1.76835664131266
PVR,Pericyte_contractile,AEBP1,90,17,0.18888888888888888,0.34582855853755373,1.8308570746105786
